"","dcirnum","q1a","q1b","q1c","q1d","q1e","q1f","q1g","q2a","q2b","q2c","q2d","q3zp","q4popserv","q5state","q6ftemp","q7fcap","q8mfi5yrs","q9wdp","q10wmfp","q11nims","q12cpg","q13srwp","q14a","q14b","q14c","q14d","q14e","q14f","q14g","q14h","q14i","q14j","q14k","q14l","q15a","q15b","q15c","q15d","q15e","q15f","q15g","q16a","q16b","q16c","q16d","q17a","q17b","q17c","q17d","q17e","q17f","q17g","q17h","q17i","q17j","q17k","q17l","q17m","q17n","q18a","q18b","q19a","q19b","q20drills","q21sroster","q22wmfi","q23wcbrne","q24amfi","q25acbrne","q26preeventp","q27wprep","q28jprep","q29a","q29b","q29c","q29d","q29e","q29f","q29g","q29h","q29i","q29j","q29k","q30fema","q31ua","q32js"
"69",69,1,0,1,0,0,0,0,0,1,0,0,"44077",2,39,1,1,0,1,0,88,88,88,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1,0,0,0,99,2,2,1,1,99,3,0,1,1,0,0,0,0,0,0,0,0,5,0,1
"70",70,1,0,1,0,0,0,0,0,1,0,0,"23350",1,51,2,2,0,1,0,99,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,9,5,5,5,1,1,2,1,1,1,0,1,1,0,0,0,0,0,3,0,0
"71",71,1,0,0,0,0,0,0,0,1,0,0,"16335",1,42,1,1,0,1,1,99,99,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,11,6,11,6,6,4,3,0,0,0,0,0,1,1,0,0,0,0,3,0,0
"72",72,1,0,0,0,0,0,0,0,1,0,0,"71301",3,21,3,1,0,0,0,88,88,88,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,6,4,3,3,2,1,99,1,1,1,1,1,1,1,0,0,0,0,6,1,1
"73",73,1,0,0,0,0,0,0,0,1,0,0,"69153",1,30,1,1,0,0,0,88,88,99,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,1,3,1,1,1,0,0,1,0,0,0,0,0,7,0,0
"74",74,1,0,0,0,0,0,0,0,1,0,0,"68410",1,30,1,1,0,1,0,88,88,88,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,11,11,11,11,88,3,3,1,1,1,1,1,1,0,0,1,0,0,7,0,0
"75",75,1,0,0,0,0,0,0,0,1,0,0,"66547",1,19,1,1,0,0,0,88,88,88,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,2,2,1,0,0,0,11,11,11,11,1,2,3,0,0,0,0,0,0,1,0,0,0,99,7,0,0
"76",76,1,0,0,0,0,0,0,0,1,0,0,"53549",1,55,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,11,1,11,1,1,1,2,0,1,1,0,0,1,0,0,0,0,0,5,0,0
"77",77,1,0,0,0,0,0,0,0,1,0,0,"45858",1,39,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,11,11,88,11,11,4,4,1,0,0,0,0,0,0,0,0,0,0,5,0,0
"78",78,1,0,0,0,0,0,0,0,1,0,0,"17567",1,42,1,1,0,0,0,88,88,88,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,2,2,1,0,0,0,11,1,11,1,1,1,99,0,0,0,0,0,0,1,0,0,0,99,3,0,0
"79",79,1,0,0,0,0,0,0,0,1,0,0,"06790",3,8,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,99,0,1,11,11,11,11,11,3,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1
"80",80,1,0,0,0,0,0,0,0,1,0,0,"82701",1,56,1,1,0,0,0,88,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,0,8,0,0
"81",81,1,0,0,0,0,0,0,0,1,0,0,"29464",1,45,1,1,0,1,99,99,99,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,1,0,0,0,11,99,11,99,1,1,3,0,1,1,0,1,1,1,0,0,0,0,4,0,0
